smiles,score,nearest_scaffold,nearest_tc,scaffold_name,scaffold_class,max_tc_acridine,max_tc_anthraquinone,max_tc_azo_dye,max_tc_benzimidazole,max_tc_benzofuran,max_tc_benzothiazole,max_tc_beta_lactam,max_tc_biphenyl,max_tc_bodipy,max_tc_carbazole,max_tc_chalcone,max_tc_coumarin,max_tc_cyanine,max_tc_flavonoid,max_tc_fluorescein,max_tc_indole,max_tc_isoquinoline,max_tc_naphthalene,max_tc_naphthalimide,max_tc_phenothiazine,max_tc_phthalimide,max_tc_porphyrin,max_tc_purine,max_tc_pyrimidine,max_tc_quinoline,max_tc_rhodamine,max_tc_steroid,max_tc_stilbene,max_tc_sulfonamide
CCCCOc1ccc(CC(C#N)=Cc2ccc(C=C(C#N)C#N)c3c2OCCO3)c(OCCCC)c1,0.881808,benzimidazole,0.23076923076923078,Benzimidazole,heterocycle,0.19718309859154928,0.16304347826086957,0.2,0.23076923076923078,0.18888888888888888,0.1743119266055046,0.1523809523809524,0.2028985507246377,0.1559633027522936,0.16279069767441862,0.19767441860465115,0.1566265060240964,0.15178571428571427,0.17073170731707318,0.18181818181818182,0.18604651162790697,0.1839080459770115,0.16666666666666666,0.15384615384615385,0.1523809523809524,0.16883116883116883,0.15217391304347827,0.13186813186813187,0.16049382716049382,0.15841584158415842,0.16964285714285715,0.10476190476190476,0.19402985074626866,0.16326530612244897
CC(C)(C)c1ccc(-c2ccc(-c3c(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)c4ccc(C(C)(C)C)cc4c4cc5cc6c(c(C(C)(C)C)cc7c8cc(C(C)(C)C)ccc8n5c76)c5ccc(C(C)(C)C)c6c5cc(C(C)(C)C)cc6n34)cc2)cc1,0.0,naphthalimide,0.2916666666666667,"1,8-Naphthalimide",chromophore,0.1232876712328767,0.13157894736842105,0.12359550561797752,0.14772727272727273,0.12280701754385964,0.14457831325301204,0.10909090909090909,0.18478260869565216,0.12643678160919541,0.1728395061728395,0.08602150537634409,0.13043478260869565,0.10869565217391304,0.11235955056179775,0.12941176470588237,0.1111111111111111,0.1717171717171717,0.12631578947368421,0.2916666666666667,0.10989010989010989,0.15384615384615385,0.11702127659574468,0.08490566037735849,0.15151515151515152,0.12612612612612611,0.1827956989247312,0.07751937984496124,0.13,0.125
COc1ccc(-c2csc(-c3cc[n+](CC(=O)c4ccc(N(C)C)cc4)cc3)n2)cc1,0.9167769,chalcone,0.2753623188405797,Chalcone,natural_product,0.2054794520547945,0.21621621621621623,0.22580645161290322,0.15476190476190477,0.20454545454545456,0.21794871794871795,0.2,0.22988505747126436,0.2235294117647059,0.15789473684210525,0.2753623188405797,0.2,0.22988505747126436,0.2112676056338028,0.15730337078651685,0.17647058823529413,0.19767441860465115,0.22077922077922077,0.18681318681318682,0.2,0.21348314606741572,0.24271844660194175,0.22666666666666666,0.2236842105263158,0.20481927710843373,0.1875,0.1834862385321101,0.23728813559322035,0.2268041237113402
CCCCCCCCCCCc1ccc(-n2c3ccccc3c3cc(C=C(C#N)C(=O)O)ccc32)cc1,0.0,carbazole,0.2602739726027397,Carbazole,chromophore,0.20512820512820512,0.19444444444444445,0.14942528735632185,0.15294117647058825,0.20588235294117646,0.17894736842105263,0.21739130434782608,0.2,0.20930232558139536,0.2602739726027397,0.19117647058823528,0.21518987341772153,0.1780821917808219,0.18072289156626506,0.17721518987341772,0.2289156626506024,0.18840579710144928,0.2564102564102564,0.2,0.175,0.18518518518518517,0.15476190476190477,0.16470588235294117,0.17073170731707318,0.17721518987341772,0.1568627450980392,0.12380952380952381,0.2,0.17777777777777778
N#CC(C#N)=Cc1sc(-c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)s2)cc1F,0.935894,quinoline,0.19318181818181818,Quinoline,heterocycle,0.1694915254237288,0.13846153846153847,0.14102564102564102,0.1794871794871795,0.1375,0.17894736842105263,0.12371134020618557,0.18181818181818182,0.1744186046511628,0.1728395061728395,0.13043478260869565,0.14772727272727273,0.16455696202531644,0.14492753623188406,0.14606741573033707,0.16666666666666666,0.16161616161616163,0.16091954022988506,0.1566265060240964,0.15476190476190477,0.15492957746478872,0.18181818181818182,0.1262135922330097,0.12121212121212122,0.19318181818181818,0.15789473684210525,0.07766990291262135,0.1724137931034483,0.14772727272727273
N#CC(=Cc1ccc(-c2ccc(-c3ccc4ccc(=O)oc4c3)cc2)o1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,0.9228909,coumarin,0.28169014084507044,Coumarin,chromophore,0.19047619047619047,0.15384615384615385,0.16279069767441862,0.225,0.208955223880597,0.20833333333333334,0.1346153846153846,0.18,0.11382113821138211,0.15306122448979592,0.18309859154929578,0.28169014084507044,0.15267175572519084,0.23529411764705882,0.16470588235294117,0.14583333333333334,0.14705882352941177,0.22077922077922077,0.15853658536585366,0.16666666666666666,0.16666666666666666,0.1553398058252427,0.16,0.18292682926829268,0.15853658536585366,0.21794871794871795,0.1282051282051282,0.1935483870967742,0.15584415584415584
CN(CCC(=O)O)S(=O)(=O)c1ccc2c(c1)C(C)(S(=O)(=O)c1ccccc1)c1cc(S(=O)(=O)O)ccc1N2CCCS(=O)(=O)O,0.0,phenothiazine,0.29591836734693877,Phenothiazine,chromophore,0.2127659574468085,0.2153846153846154,0.1875,0.17721518987341772,0.16494845360824742,0.20212765957446807,0.19444444444444445,0.175,0.20930232558139536,0.17,0.15789473684210525,0.15476190476190477,0.26732673267326734,0.17307692307692307,0.1941747572815534,0.1927710843373494,0.18095238095238095,0.21212121212121213,0.2375,0.29591836734693877,0.21052631578947367,0.16091954022988506,0.14814814814814814,0.18823529411764706,0.20224719101123595,0.24528301886792453,0.1574074074074074,0.2463768115942029,0.29545454545454547
CN(C)c1ccc2cc3ccccc3c(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)c2c1,0.888889,acridine,0.3409090909090909,Acridine,chromophore,0.3409090909090909,0.15789473684210525,0.19607843137254902,0.16666666666666666,0.1527777777777778,0.2698412698412698,0.14444444444444443,0.2549019607843137,0.13580246913580246,0.2112676056338028,0.21052631578947367,0.19117647058823528,0.19642857142857142,0.20689655172413793,0.16666666666666666,0.17567567567567569,0.22857142857142856,0.21951219512195122,0.24242424242424243,0.2,0.2125,0.26153846153846155,0.1485148514851485,0.14423076923076922,0.3076923076923077,0.2545454545454545,0.10377358490566038,0.21666666666666667,0.1917808219178082
COc1ccc2cc(C(=O)Nc3ccc(Cl)cc3)c(=O)oc2c1,0.0268247,coumarin,0.5283018867924528,Coumarin,chromophore,0.3114754098360656,0.28,0.2823529411764706,0.23255813953488372,0.390625,0.2222222222222222,0.20224719101123595,0.23809523809523808,0.20481927710843373,0.3150684931506849,0.3157894736842105,0.5283018867924528,0.1864406779661017,0.3220338983050847,0.25,0.3939393939393939,0.23684210526315788,0.25862068965517243,0.21875,0.25287356321839083,0.22388059701492538,0.21212121212121213,0.2,0.21428571428571427,0.28125,0.2077922077922078,0.11009174311926606,0.22641509433962265,0.25396825396825395
CCOC(=O)c1c2c(cc3c1=C1C=CC=C1NN3)=c1cc(OC)c(OC)cc1=CC=C2,0.0,indole,0.19791666666666666,Indole,heterocycle,0.16883116883116883,0.16216216216216217,0.1388888888888889,0.14814814814814814,0.1951219512195122,0.15,0.14285714285714285,0.14492753623188406,0.13445378151260504,0.15853658536585366,0.18666666666666668,0.19480519480519481,0.14606741573033707,0.16666666666666666,0.16216216216216217,0.19791666666666666,0.15584415584415584,0.1686746987951807,0.16279069767441862,0.16666666666666666,0.18571428571428572,0.15053763440860216,0.14285714285714285,0.14130434782608695,0.19480519480519481,0.1951219512195122,0.11650485436893204,0.15476190476190477,0.15625
