smiles,score,nearest_class,nearest_tc,max_tc_azobenzene,topk5_tc_azobenzene,max_tc_benzothiazole,topk5_tc_benzothiazole,max_tc_chalcone,topk5_tc_chalcone,max_tc_stilbene,topk5_tc_stilbene,max_tc_thiazolidinedione,topk5_tc_thiazolidinedione
CCCCOc1ccc(CC(C#N)=Cc2ccc(C=C(C#N)C#N)c3c2OCCO3)c(OCCCC)c1,0.881808,chalcone,0.2625,0.20270270270270271,0.19607855268419347,0.2361111111111111,0.2114157056585532,0.2625,0.2537048192771084,0.25333333333333335,0.2292859275339068,0.25,0.2482617316589557
CC(C)(C)c1ccc(-c2ccc(-c3c(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)c4ccc(C(C)(C)C)cc4c4cc5cc6c(c(C(C)(C)C)cc7c8cc(C(C)(C)C)ccc8n5c76)c5ccc(C(C)(C)C)c6c5cc(C(C)(C)C)cc6n34)cc2)cc1,0.0,benzothiazole,0.2,0.15306122448979592,0.13565619066701012,0.2,0.1783386799535868,0.14432989690721648,0.13444745885331882,0.12643678160919541,0.12418270265616256,0.16883116883116883,0.13734886022624176
COc1ccc(-c2csc(-c3cc[n+](CC(=O)c4ccc(N(C)C)cc4)cc3)n2)cc1,0.9167769,thiazolidinedione,0.3181818181818182,0.26229508196721313,0.2434648138633777,0.2911392405063291,0.2856359389276475,0.25675675675675674,0.2500197113342653,0.23880597014925373,0.23361824244397678,0.3181818181818182,0.2676326116699201
CCCCCCCCCCCc1ccc(-n2c3ccccc3c3cc(C=C(C#N)C(=O)O)ccc32)cc1,0.0,chalcone,0.29347826086956524,0.2857142857142857,0.22794424686921885,0.23333333333333334,0.20366821139474273,0.29347826086956524,0.24232031342052548,0.27941176470588236,0.26320475938123,0.21951219512195122,0.21546007622280022
N#CC(C#N)=Cc1sc(-c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)s2)cc1F,0.935894,stilbene,0.2535211267605634,0.21739130434782608,0.17710794521185427,0.2318840579710145,0.18862215309614633,0.1780821917808219,0.16731627005599609,0.2535211267605634,0.23147683290259558,0.2077922077922078,0.18633915420413313
N#CC(=Cc1ccc(-c2ccc(-c3ccc4ccc(=O)oc4c3)cc2)o1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,0.9228909,stilbene,0.3050847457627119,0.22058823529411764,0.18512156041043973,0.19736842105263158,0.17475507799880013,0.2,0.19285974833963912,0.3050847457627119,0.28528165503489533,0.21951219512195122,0.212420527379877
CN(CCC(=O)O)S(=O)(=O)c1ccc2c(c1)C(C)(S(=O)(=O)c1ccccc1)c1cc(S(=O)(=O)O)ccc1N2CCCS(=O)(=O)O,0.0,benzothiazole,0.2604166666666667,0.24468085106382978,0.23727977907361622,0.2604166666666667,0.2521570651200935,0.20481927710843373,0.18685548665431614,0.2463768115942029,0.22727901069018902,0.24050632911392406,0.23231657769767114
CN(C)c1ccc2cc3ccccc3c(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)c2c1,0.888889,thiazolidinedione,0.2571428571428571,0.25675675675675674,0.24032104832104834,0.2361111111111111,0.20818903318903317,0.21052631578947367,0.190765977443609,0.21818181818181817,0.20094937085127804,0.2571428571428571,0.21864592838300306
COc1ccc2cc(C(=O)Nc3ccc(Cl)cc3)c(=O)oc2c1,0.0268247,azobenzene,0.3389830508474576,0.3389830508474576,0.2781346167466495,0.3387096774193548,0.31921587388372513,0.3333333333333333,0.2952901843312802,0.3055555555555556,0.2904380280073954,0.3333333333333333,0.2939750695317883
CCOC(=O)c1c2c(cc3c1=C1C=CC=C1NN3)=c1cc(OC)c(OC)cc1=CC=C2,0.0,chalcone,0.22666666666666666,0.2054794520547945,0.1776874765097308,0.1724137931034483,0.16906781677168511,0.22666666666666666,0.21231196166622573,0.19444444444444445,0.18610640589135966,0.20454545454545456,0.19180586794079152
Cn1c(-c2ccc(C(F)(F)F)cc2)c(C=NNc2ccc([N+](=O)[O-])cc2)c2cc(Cl)ccc21,0.0,benzothiazole,0.2948717948717949,0.2564102564102564,0.250064708006713,0.2948717948717949,0.25250249750249754,0.23255813953488372,0.20952854149750713,0.28378378378378377,0.24031309231309228,0.23404255319148937,0.21967786350765076
COc1cc(-c2ccc(C=CC(=O)O)s2)ccc1C(=O)O,0.0,chalcone,0.35185185185185186,0.2833333333333333,0.25181049744246414,0.2571428571428571,0.24942461465903487,0.35185185185185186,0.3314771871096224,0.3050847457627119,0.28568990825173096,0.25,0.24594017094017095
CCCCn1c2ccccc2c2c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)sc(C=C(C#N)C(=O)O)c21,0.0,thiazolidinedione,0.2413793103448276,0.23376623376623376,0.21234393625697975,0.21176470588235294,0.20191338073691015,0.2261904761904762,0.2147323676603587,0.21052631578947367,0.20415654520917678,0.2413793103448276,0.20591053870655035
C1=CC=C2C(c3ccccc3)=CC=CC(c3ccccc3)=Cc3c(c4cc(c3-c3nsnc32)-c2ccccc2C(c2ccccc2)=C4)C=C1,0.0,chalcone,0.20588235294117646,0.12790697674418605,0.12311064101241123,0.14705882352941177,0.14165654692003843,0.20588235294117646,0.16359421391295537,0.1566265060240964,0.1535581625054772,0.15151515151515152,0.1452307991633834
CCCCn1c(-c2ccc3cc(C=C(C#N)C#N)ccc3c2)nc(C=Cc2ccc(N(c3ccc(C(C)(C)C)cc3)c3ccc(C(C)(C)C)cc3)cc2)c1C#N,0.9021746,benzothiazole,0.24691358024691357,0.19318181818181818,0.16426411801163235,0.24691358024691357,0.1853191640627623,0.2,0.1909518562415892,0.20238095238095238,0.19851292639910523,0.2,0.1815892758606731
CCCCOc1cc2ccccc2cc1C=Cc1ccc2c3ccccc3n(CCCC)c2c1,0.0858098,stilbene,0.3235294117647059,0.2537313432835821,0.23419173884917455,0.2318840579710145,0.2191945761589554,0.3108108108108108,0.29507173569673567,0.3235294117647059,0.28948339991734395,0.27631578947368424,0.2563908239881564
CCCCNc1nc(N)c2cn(S(=O)(=O)c3ccccc3)c(F)c2n1,0.0552836,stilbene,0.24242424242424243,0.23376623376623376,0.2156271206271206,0.2222222222222222,0.20442787378240707,0.18840579710144928,0.18506355772374078,0.24242424242424243,0.21525378759532768,0.2222222222222222,0.18760188087774293
CCC1=c2c(CC)c3ccc(=[N+](CC)CC)cc-3oc2=C1,0.0582379,stilbene,0.15384615384615385,0.14285714285714285,0.12706788158897261,0.12903225806451613,0.12443159190471018,0.14705882352941177,0.13654046203065812,0.15384615384615385,0.15075799838088316,0.14457831325301204,0.13460095991687146
C[n+]1cc(-c2ccc(Br)cc2)c2cc(-c3ccccc3)c(-c3ccc(C(C)(C)C)cc3)nn21,0.0553643,benzothiazole,0.23595505617977527,0.21153846153846154,0.176783200689022,0.23595505617977527,0.21390514944845324,0.20833333333333334,0.18424905380896564,0.22857142857142856,0.18866895921068938,0.21052631578947367,0.19947980932608234
