smiles,epoch,score,source
O=C(O)CC1(C(=O)Cc2nccs2)CCCC2CCCCN21,0,0.0,epoch_0
CONCCOc1cc2ncc(-c3ccc(C#N)cc3F)n2cc1Cl,0,0.0068439,epoch_0
Cc1c(C(=O)N(C)CC(=O)N2C(C)CCCC2C)nnn1-c1cccnc1,0,7.07e-05,epoch_0
O=c1c2ccccc2nc(SCC2CCCO2)n1-c1ccc(F)cc1,0,0.0007302,epoch_0
CCc1c(C)sc2nc(C(C)N3Cc4ccc(-n5cncn5)nc4C3=O)[nH]c(=O)c12,0,0.0046758,epoch_0
Brc1ccc2c(c1)C1(CCO2)NCCO1,0,0.0001485,epoch_0
CCN(CC)CCNC(=O)c1cccc2c(Nc3sc(C)c(C)c3N3C(=O)C=CC3=O)ncnc12,0,0.2231329,epoch_0
Cc1ccc(C(=O)Nc2cc(Cl)ccc2Cl)cc1S(=O)(=O)N1CCCC1,0,0.0002,epoch_0
CC(=O)OC1CC2C3(CC4CCC(O)(C(F)(F)F)C4CC(C)C23OC(C)=O)C2C(C)C(O)CCC12C,0,0.0,epoch_0
CCCCC1CCC(C(=O)NC(CC(C)C)C(=O)Nc2ccc(C)c(C)c2)CC1,0,3.61e-05,epoch_0
Cc1cc(CC(=O)C2CC3(CCNCC3)NC2=O)sc1CNC1CCCS(=O)(=O)C1,0,0.0008791,epoch_0
CCCC[S+]([O-])CCC1CCC(C2CCC(c3ccc(-c4cnc(C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)s4)cc3)CC2)CC1,0,0.0,epoch_0
COCC(CCCN)NC(C)c1ccc(F)cc1OC,0,2.98e-05,epoch_0
Oc1cc(Cl)ccc1C=NN1CCOCC1,0,0.0,epoch_0
Cc1ccc(-n2c(SCc3nc(-c4ccccc4C)oc3N3CCCCC3)nnc2-c2cccc(C)c2)cc1,0,0.0004579,epoch_0
COC(=O)C1CCC(CC(C)=O)O1,0,0.0,epoch_0
CCc1ccc(N2C(=O)CSC(=NN=Cc3ccccc3)C2=O)cc1,0,0.0,epoch_0
Cc1ccc(C(N)c2ccc(Br)c(F)c2Cl)cc1F,0,9.3e-05,epoch_0
Cc1nnc(CSCC(=O)N2CCC(C)CC2)o1,0,2.3e-05,epoch_0
CCN(CCCN1C(=O)NC(=O)CC1(C)c1ccc2c(c1)C(=O)NC2)C(C)C,0,0.000881,epoch_0
C=C(C)C(C)n1ccc(=C)c1=CN(C)C,0,0.168731,epoch_0
CCCCOC(=O)C(CC)NC(=O)c1ccccc1,0,0.0,epoch_0
CC(=O)c1c(C)cc(C)cc1SC(C(=O)Nc1cccc(Cl)c1)c1ccccc1,0,0.0005756,epoch_0
COCCNC(=O)CNc1c(C)n(C)n(-c2ccccc2)c1=O,0,0.0006093,epoch_0
