id,SMILES,score,sa,scscore,max_tc_any_ref,lambda_nm,RAscore,casp_access_label,method_note
1,CNc1ccc(C=CC(=O)C(=[N+]=[N-])[N+](=O)[O-])c(F)c1,0.9239402,3.3231,2.7833104336542407,0.2962962962962963,472.9174,0.9964503049850464,likely_accessible,RAscore_XGB = P(AiZynthFinder route); ASKCOS server unavailable
2,Nc1ccc2c([N+](=O)[O-])c(N)cc([N+](=O)[O-])c2c1,0.945744,2.6453,2.44522595315731,0.3111111111111111,479.5681,0.964557945728302,likely_accessible,RAscore_XGB = P(AiZynthFinder route); ASKCOS server unavailable
3,S=C(N=Cc1ccc(N=Nc2ccccc2)cc1)Nc1ccccc1N=Nc1ccc(N=Nc2ccccc2)cc1,0.9060053,3.0057,2.5252852164142445,0.3255813953488372,479.4762,0.9413376450538635,likely_accessible,RAscore_XGB = P(AiZynthFinder route); ASKCOS server unavailable
4,N#Cc1cc(C=Nc2ccc(N=Nc3ccc(N=Nc4ccccc4)cc3)cc2)ccc1N=Nc1ccccc1,0.9284292,2.9835,2.593723653946789,0.34,462.91,0.9850131273269653,likely_accessible,RAscore_XGB = P(AiZynthFinder route); ASKCOS server unavailable
5,Nc1ccc2c(c1)C(=Nc1ccc(N=Nc3ccc([N+](=O)[O-])cc3)cc1)Cc1cc(N=Nc3ccc([N+](=O)[O-])cc3)ccc1-2,0.9060926,3.2524,2.7456641985650663,0.3448275862068966,472.8818,0.09480758756399155,likely_hard,RAscore_XGB = P(AiZynthFinder route); ASKCOS server unavailable
6,COc1c(N)ccc2ccc(N=Nc3ccc(N=Nc4ccc(N=Nc5ccc(N)cc5)cc4)cc3)cc12,0.9316133,2.9581,2.6325595156934765,0.3555555555555555,464.7925,0.8954336643218994,likely_accessible,RAscore_XGB = P(AiZynthFinder route); ASKCOS server unavailable
7,O=C(C=Cc1ccc(N=Nc2ccccc2)cc1)Nc1cc(N=Nc2ccccc2)ccc1N=Nc1ccccc1,0.9290887,2.8519,2.871205384944205,0.3617021276595745,457.7271,0.9596979022026062,likely_accessible,RAscore_XGB = P(AiZynthFinder route); ASKCOS server unavailable
8,COc1cc(-c2ccc(N=Nc3ccccc3)cc2)cc(N=Nc2ccccc2)c1N=Nc1ccccc1,0.937487,2.7541,2.8366580640850065,0.3720930232558139,462.4749,0.9898872971534729,likely_accessible,RAscore_XGB = P(AiZynthFinder route); ASKCOS server unavailable
9,CCN(C)C(=O)c1ccccc1NC(=S)NC(=O)c1ccc(N=Nc2ccc(N=Nc3ccccc3)cc2)cc1,0.9340181,2.7477,2.98646545129042,0.3773584905660377,457.7888,0.9777952432632446,likely_accessible,RAscore_XGB = P(AiZynthFinder route); ASKCOS server unavailable
10,ClCN=Cc1ccc(N=Nc2ccc(N=Nc3ccccc3)cc2)cc1,0.9328466,2.839,1.853504577410284,0.3823529411764705,469.3847,0.8935168981552124,likely_accessible,RAscore_XGB = P(AiZynthFinder route); ASKCOS server unavailable
11,Oc1ccc(C=Cc2ccc(N=Nc3ccc(N=Nc4ccccc4)cc3)cc2)cc1N=Nc1ccccc1,0.9279494,2.7576,2.3306210896834028,0.3829787234042553,450.0004,0.9200455546379089,likely_accessible,RAscore_XGB = P(AiZynthFinder route); ASKCOS server unavailable
12,O=C(C=Cc1ccccc1)NCc1ccc(N=Nc2ccc(N=Nc3ccccc3)cc2)cc1,0.9410125,2.5043,2.5251286976744165,0.3902439024390244,463.079,0.9917827844619751,likely_accessible,RAscore_XGB = P(AiZynthFinder route); ASKCOS server unavailable
13,COc1ccc(C(C=Cc2ccc3c(c2)OCO3)=C(C#N)C#N)cc1OC,0.9677983,2.6248,2.6411500032323945,0.391304347826087,453.9991,0.9818019270896912,likely_accessible,RAscore_XGB = P(AiZynthFinder route); ASKCOS server unavailable
14,O=[N+]([O-])c1ccc(N=Nc2ccccc2)cc1NCc1cccc2ccccc12,0.9416969,2.309,2.8872404399453644,0.3928571428571428,454.3886,0.9866577982902527,likely_accessible,RAscore_XGB = P(AiZynthFinder route); ASKCOS server unavailable
